work_orders,section_names,status,working_hours,priority
FA2303080141,AW,1,0.3,437
FA2303080142,AW,1,0.3,438
FA2303080143,AW,1,0.3,439
FA2303080145,CNC,1,6.0,440
FA2303080152,AW,1,0.8,441
FA2303080153,AW,1,0.3,442
FA2303080155,AW,1,0.4,443
FA2303080156,AW,1,0.6,444
FA2303080157,AW,1,0.4,445
FA2303080161,AW,1,0.3,446
FA2303080162,AW,1,0.4,447
FA2303080164,AW,1,2.3,448
FA2303080166,AW,1,0.6,449
FA2303080167,AW,1,0.6,450
FA2303090006,G,1,2.8,451
FA2303090015,EM,1,1.5,452
FA2303090045,M,1,2.0,453
FA2303090073,G,1,2.0,454
FA2303090074,G,1,2.0,455
FA2303090075,G,1,2.0,456
FA2303090102,M,1,4.0,457
FA2303100001,GP,1,3.0,458
FA2303100002,CNC,1,6.0,459
FA2303100003,G,1,1.5,460
FA2303100004,G,1,2.0,461
FA2303100005,G,1,1.5,462
FA2303100006,MC,1,3.5,463
FA2303100007,G,1,1.5,464
FA2303100023,G,1,3.0,465
FA2303100034,M,1,3.0,466
FA2303100035,G,1,2.0,467
FA2303100036,G,1,2.0,468
FA2303100037,G,1,2.0,469
FA2303100059,EM,1,1.5,470
FA2303100062,ES,1,4.0,471
FA2303100063,M,1,2.5,472
FA2303100127,GP,1,2.0,473
FA2303110085,M,1,2.0,474
FA2303120008,RM,1,0.8,475
FA2303120018,MC,1,2.0,476
FA2303120019,MC,1,2.0,477
FA2301170045,AW,1,2.0,478
FA2302050212,M,1,13.0,479
FA2303070038,AW,1,0.5,480
FA2303070145,G,1,3.5,481
FA2303070147,G,1,0.8,482
FA2303070148,G,1,0.8,483
FA2303070149,G,1,0.8,484
FA2303070150,G,1,0.8,485
FA2303070151,G,1,1.2,486
FA2303070152,G,1,0.8,487
FA2303080154,AW,1,0.6,488
FA2303080158,AW,1,0.8,489
FA2303080163,AW,1,0.4,490
FA2303090011,CNC,1,2.5,491
FA2302050102,G,1,5.0,492
FA2303050028,G,1,3.0,493
FA2303080165,ES,1,6.0,494
FA2303090014,G,1,1.0,495
FA2303100011,EM,1,1.5,496
FA2303100012,EM,1,1.5,497
FA2302050213,CNC,1,12.0,498
FA2303050027,WE,1,7.0,499
FA2303090012,ES,1,2.5,500
FA2303090013,ES,1,2.5,501
FA2303050023,G,1,3.0,502
FA2303050024,G,1,3.0,503
FA2302050123,CNC,1,18.0,504
FA2303040023,ES,1,8.0,505
FA2302230094,AW,1,0.4,506
FA2302230095,AW,1,0.8,507
FA2302230100,AW,1,0.6,508
FA2302230206,AW,1,0.5,509
FA2302240040,AW,1,0.5,510
FA2302240411,AW,1,0.5,511
FA2303010106,AW,1,1.0,512
FA2303090051,AW,1,0.7,513
FA2303090061,G,1,2.0,514
FA2303090103,G,1,1.5,515
FA2303090104,G,1,1.5,516
FA2303090105,G,1,1.5,517
FA2303120064,M,1,1.5,518
FA2303120073,RM,1,0.5,519
FA2303130380,ES,1,1.8,520
FA2303070137,M,1,1.5,521
FA2302050097,G,1,2.0,522
FA2303090046,ES,1,2.5,523
FA2303090106,ES,1,2.5,524
FA2302050094,CNC,1,8.0,525
FA2302050099,G,1,2.5,526
FA2302050114,G,1,2.5,527
FA2302050125,G,1,2.5,528
FA2302050291,CNC,1,3.0,529
FA2303090099,G,1,1.3,530
FA2303090100,G,1,1.3,531
FA2303090040,CNC,1,2.0,532
FA2303090098,G,1,2.0,533
FA2302220164,GP,1,4.0,534
FA2303040054,AW,1,1.0,535
FA2303040055,AW,1,1.0,536
FA2303090036,M,1,4.0,537
FA2303090048,AW,1,0.8,538
FA2303090049,AW,1,0.8,539
FA2303090054,AW,1,0.8,540
FA2303090055,AW,1,0.3,541
FA2303090056,AW,1,0.5,542
FA2303090058,AW,1,0.3,543
FA2303100064,AW,1,1.5,544
FA2303100065,AW,1,1.0,545
FA2303100067,G,1,4.0,546
FA2303100068,G,1,4.0,547
FA2303100069,ES,1,6.0,548
FA2303110030,AW,1,0.3,549
FA2303110070,AW,1,2.0,550
FA2303110071,AW,1,2.0,551
FA2303110072,AW,1,0.5,552
FA2303110073,AW,1,0.5,553
FA2303110086,G,1,3.0,554
FA2303110087,G,1,3.0,555
FA2303120069,RM,1,1.0,556
FA2303130442,G,1,3.5,557
FA2301030053,M,1,4.0,558
FA2301310471,WE,1,1.5,559
FA2301310488,WE,1,1.0,560
FA2301310489,WE,1,1.0,561
FA2302050131,M,1,1.2,562
FA2302050210,M,1,1.5,563
FA2302050211,M,1,1.5,564
FA2302050271,M,1,2.5,565
FA2302050281,M,1,5.0,566
FA2302180218,GP,1,1.5,567
FA2302220171,M,1,4.0,568
FA2303130497,ES,1,5.0,569
FA2301310458,CNC,1,2.5,570
FA2302050089,G,1,3.0,571
FA2302050119,G,1,5.0,572
FA2302050257,G,1,5.0,573
FA2302050258,G,1,1.8,574
FA2302050259,G,1,5.0,575
FA2302050269,G,1,2.5,576
FA2302170119,GP,1,2.0,577
FA2302050079,G,1,1.0,578
FA2302050080,G,1,1.0,579
FA2302050082,G,1,3.0,580
FA2302050085,G,1,3.0,581
FA2302050086,G,1,3.0,582
FA2302050088,G,1,4.0,583
FA2302050091,G,1,2.5,584
FA2302050095,G,1,3.0,585
FA2302050096,G,1,3.0,586
FA2302050100,G,1,1.0,587
FA2302050103,G,1,3.5,588
FA2302050104,G,1,1.5,589
FA2302050115,G,1,5.0,590
FA2302050116,G,1,1.0,591
FA2302050129,GP,1,4.0,592
FA2302050241,G,1,1.3,593
FA2302050242,G,1,1.3,594
FA2302050244,G,1,1.3,595
FA2302050245,G,1,1.3,596
FA2302050249,G,1,1.5,597
FA2302050250,G,1,1.5,598
FA2302050251,G,1,1.5,599
FA2302050252,G,1,1.5,600
FA2302050253,G,1,1.5,601
FA2302050254,G,1,1.5,602
FA2302050255,G,1,1.5,603
FA2302050256,G,1,1.5,604
FA2302050264,GP,1,4.0,605
FA2302050266,G,1,6.0,606
FA2302050267,G,1,4.0,607
FA2302050274,GP,1,3.5,608
FA2303010172,WE,1,2.5,609
FA2301310495,CNC,1,1.0,610
FA2302050112,ES,1,1.5,611
FA2302050124,G,1,2.5,612
FA2302050126,G,1,2.5,613
FA2302050128,G,1,1.5,614
FA2302050130,G,1,2.0,615
FA2302050248,WE,1,3.0,616
FA2302050262,G,1,4.0,617
FA2302050272,G,1,1.0,618
FA2302180216,CNC,1,12.0,619
FA2302180217,CNC,1,12.0,620
FA2302190205,CNC,1,10.0,621
FA2302190206,CNC,1,10.0,622
FA2303050022,G,1,4.0,623
FA2302050215,G,1,6.0,624
FA2303090053,EM,1,1.5,625
FA2302050234,M,1,0.5,626
FA2302050235,M,1,0.5,627
FA2302050236,M,1,0.5,628
FA2302050287,WE,1,3.5,629
FA2302050288,WE,1,3.5,630
FA2302190115,CNC,1,30.0,631
FA2302050122,CNC,1,5.0,632
FA2302250106,AW,1,0.5,633
FA2302250108,AW,1,0.8,634
FA2302250109,AW,1,0.5,635
FA2303070002,EM,1,4.0,636
FA2303070003,EM,1,4.0,637
FA2303070004,EM,1,4.0,638
FA2303070006,EM,1,4.0,639
FA2303070010,EM,1,3.0,640
FA2303070011,EM,1,3.0,641
FA2303090024,AW,1,1.0,642
FA2303090025,AW,1,1.0,643
FA2303090026,AW,1,0.5,644
FA2303090079,AW,1,0.5,645
FA2303090080,AW,1,0.5,646
FA2303090081,AW,1,1.0,647
FA2303090084,AW,1,0.8,648
FA2303090085,AW,1,0.8,649
FA2303090086,AW,1,1.0,650
FA2303090087,AW,1,0.5,651
FA2303090089,AW,1,0.5,652
FA2303100008,G,1,1.3,653
FA2303100015,AW,1,0.9,654
FA2303100031,G,1,1.5,655
FA2303100032,G,1,2.0,656
FA2303100070,M,1,2.0,657
FA2303100071,AW,1,0.6,658
FA2303100072,AW,1,1.4,659
FA2303100073,AW,1,1.0,660
FA2303100074,AW,1,0.6,661
FA2303100075,EM,1,1.0,662
FA2303100076,AW,1,0.3,663
FA2303100077,AW,1,0.6,664
FA2303100087,ES,1,3.0,665
FA2303100088,ES,1,3.0,666
FA2303100110,AW,1,1.2,667
FA2303100111,AW,1,1.0,668
FA2303100112,AW,1,1.3,669
FA2303100113,AW,1,1.3,670
FA2303100114,AW,1,2.0,671
FA2303100115,AW,1,1.0,672
FA2303100116,AW,1,1.5,673
FA2303100118,AW,1,1.2,674
FA2303100121,MC,1,5.0,675
FA2303110089,AW,1,1.5,676
FA2303110115,ES,1,3.0,677
FA2303110133,G,1,1.0,678
FA2303110135,G,1,1.0,679
FA2303120005,WE,1,1.8,680
FA2303120006,CNC,1,2.0,681
FA2303120009,AW,1,2.0,682
FA2303120011,AW,1,0.5,683
FA2303120013,AW,1,0.6,684
FA2303120014,AW,1,0.3,685
FA2303120070,RM,1,1.0,686
FA2303130368,G,1,4.0,687
FA2303130369,MC,1,2.0,688
FA2303130370,MC,1,2.0,689
FA2303130393,AW,1,2.5,690
FA2303130395,ES,1,2.5,691
FA2303130408,M,1,2.0,692
FA2303130409,MC,1,6.0,693
FA2303130410,G,1,8.0,694
FA2303130444,G,1,2.5,695
FA2303130445,G,1,1.5,696
FA2303130447,ES,1,4.0,697
